2.846153846153846256e+00	2.720588235294117752e+00
4.682926829268292401e+00	4.085106382978723083e+00
4.454545454545454142e+00	7.538461538461538325e+00
6.250000000000000000e+00	6.185567010309278579e+00
3.277777777777777679e+00	5.488372093023255793e+00
4.475609756097560954e+00	6.924528301886792470e+00
2.833333333333333481e+00	1.416666666666666741e+00
7.968421052631579293e+00	8.802325581395349374e+00
9.747572815533979806e+00	9.653846153846153300e+00
3.809523809523809312e+00	3.404255319148936199e+00
4.742268041237113430e+00	4.946236559139784994e+00
3.333333333333333481e+00	1.000000000000000000e+00
4.463414634146341875e+00	3.327272727272727160e+00
4.265306122448979664e+00	4.446808510638297740e+00
2.944444444444444642e+00	2.355555555555555625e+00
3.187500000000000000e+00	3.477272727272727071e+00
1.000000000000000000e+00	1.000000000000000000e+00
2.000000000000000000e+00	1.000000000000000000e+00
3.883116883116882967e+00	3.517647058823529349e+00
4.271739130434782261e+00	4.415730337078652035e+00
4.697674418604651514e+00	8.416666666666666075e+00
4.512195121951219079e+00	7.254901960784313708e+00
6.500000000000000000e+00	1.227777777777777857e+01
6.245098039215686292e+00	1.249019607843137258e+01
4.111111111111110716e+00	7.872340425531914931e+00
