3	21	83
35	2	74
48	4	37
8	19	90
2	13	47
64	3	47
34	23	44
69	3	39
85	3	47
94	20	9
13	9	70
6	23	0
85	7	3
66	24	7
93	7	39
96	19	63
5	2	67
0	7	72
13	1	75
14	2	61
23	10	50
92	9	36
84	5	94
90	23	10
18	22	53
64	22	70
68	3	25
21	24	10
7	1	99
51	7	39
27	19	40
18	7	39
94	22	103
13	22	66
100	0	71
54	8	11
85	9	1
26	13	1
63	23	36
8	12	64
66	23	11
53	21	100
47	13	35
40	10	80
18	3	84
40	20	1
29	8	86
3	9	31
51	9	26
16	18	25
35	1	58
40	21	52
81	7	70
24	10	84
74	10	31
40	4	30
16	3	86
78	21	68
88	12	4
69	23	82
33	2	63
85	20	34
86	24	50
36	10	5
18	7	66
67	23	20
16	10	92
26	19	49
65	23	82
79	10	23
30	20	47
3	15	89
97	5	95
36	13	20
25	4	38
31	22	75
64	9	18
54	12	41
39	24	19
15	8	6
23	20	47
53	5	78
53	18	46
17	3	45
86	23	22
4	1	13
77	22	88
84	23	10
16	18	73
40	2	54
20	8	73
99	2	95
56	3	13
65	23	21
100	0	49
34	2	63
54	8	45
45	2	89
51	14	56
74	1	58
51	8	6
39	13	23
69	22	56
88	4	42
78	12	95
37	22	81
91	0	27
85	20	14
51	10	60
73	3	25
70	1	0
25	13	26
45	19	49
71	13	47
99	4	14
30	9	78
81	3	96
42	10	72
97	22	57
21	10	47
22	21	58
41	1	7
63	12	92
99	9	20
74	15	98
36	23	45
89	22	81
61	18	46
18	7	41
53	8	25
97	0	10
53	3	10
62	7	54
47	18	68
29	10	5
103	24	41
65	7	48
17	22	73
22	2	99
50	5	70
15	12	80
12	7	23
18	20	7
1	18	102
97	19	69
89	23	60
55	4	1
81	8	17
57	7	98
88	8	72
71	13	38
38	7	33
82	6	49
53	7	75
101	20	17
17	1	4
46	10	2
60	22	94
58	12	74
82	9	74
15	3	58
78	7	70
83	8	65
88	3	85
60	10	15
50	24	47
8	3	83
97	19	66
12	13	0
7	7	5
41	23	17
18	7	78
54	7	76
9	21	102
57	8	63
99	5	61
3	22	87
68	3	87
55	3	87
71	7	36
3	20	13
70	21	69
35	8	91
26	13	35
31	9	92
39	4	20
9	0	23
53	12	20
103	10	35
23	23	71
89	4	44
1	8	28
101	21	88
1	9	56
91	21	75
78	20	18
84	21	66
75	12	94
86	7	3
27	3	6
40	3	72
90	5	79
22	23	11
48	9	86
8	7	10
2	4	16
69	22	88
55	7	29
24	19	27
84	24	18
94	21	63
32	13	42
82	18	87
47	8	96
71	3	18
19	10	5
81	2	98
59	8	31
26	8	46
72	22	97
81	2	69
14	20	47
28	21	56
2	7	66
23	7	94
66	7	74
23	10	75
84	5	89
23	8	35
54	14	63
28	7	85
17	8	72
32	7	91
26	7	3
20	8	18
60	1	77
30	24	20
102	8	41
15	10	81
101	8	49
37	8	46
64	0	102
55	10	60
102	21	3
103	23	38
67	2	70
97	24	33
68	24	71
2	13	8
68	22	88
33	22	57
21	24	14
24	7	100
36	1	54
27	3	61
38	3	83
13	3	32
5	14	94
27	3	28
1	10	7
0	19	75
44	21	95
72	8	47
97	22	87
39	2	99
43	20	50
21	4	41
69	3	81
46	23	17
10	3	23
32	18	58
20	8	71
35	1	71
101	9	40
5	23	10
40	13	43
95	3	29
72	4	20
10	3	6
92	8	62
101	20	50
59	5	68
32	24	50
70	8	91
84	4	17
58	12	70
0	8	34
12	7	101
62	7	29
95	3	39
53	8	55
0	12	25
37	9	100
29	1	54
58	18	47
32	18	51
24	20	49
95	5	61
81	7	80
92	22	74
11	23	40
100	5	86
10	8	76
77	23	17
30	10	84
16	3	83
81	8	89
82	10	91
96	4	21
3	14	72
4	21	92
45	23	41
43	22	73
6	7	86
81	2	78
3	9	29
52	18	47
42	23	45
55	3	2
40	9	101
81	19	101
100	1	48
38	8	81
82	3	8
12	8	24
6	21	89
44	21	98
46	1	66
58	18	45
24	8	94
5	4	50
46	0	25
45	18	62
53	8	18
47	8	36
55	8	61
7	23	11
48	12	44
47	18	70
97	21	83
14	9	103
9	20	37
97	21	86
38	8	69
95	8	11
90	21	78
100	2	67
41	13	20
50	2	64
26	8	40
8	8	54
75	1	13
36	21	68
57	22	3
41	1	46
97	10	82
62	23	43
78	24	7
32	5	84
97	5	103
92	8	71
41	8	86
55	3	18
38	7	23
96	22	85
10	23	0
100	8	43
18	7	29
84	21	65
54	7	42
89	9	93
48	10	66
34	22	55
71	12	35
68	8	28
17	13	2
23	8	48
76	5	86
3	20	17
60	7	44
27	7	64
73	15	99
24	8	37
53	12	3
53	0	23
27	9	66
33	3	43
13	8	81
79	24	13
24	4	21
44	21	54
5	2	90
35	4	37
95	1	69
15	12	5
98	8	11
14	7	4
39	9	92
50	19	49
79	24	17
51	8	14
3	20	38
58	7	99
33	3	6
11	8	22
92	22	55
77	24	31
54	8	102
57	2	51
24	20	18
40	4	34
11	23	46
85	0	8
29	23	47
16	12	4
44	0	49
50	8	29
95	10	25
62	7	77
34	22	68
103	4	23
1	2	51
24	24	19
67	2	62
18	4	11
73	18	37
91	19	7
32	2	75
55	8	43
60	13	28
61	18	39
101	2	97
42	2	90
40	8	4
44	21	99
27	23	71
13	13	15
8	19	44
12	23	42
74	23	20
28	23	2
7	13	20
80	5	4
50	7	21
80	6	37
85	24	17
21	22	55
94	22	98
36	19	10
102	2	86
42	9	94
100	20	31
28	13	36
74	4	37
10	19	99
53	3	61
87	20	60
80	22	6
92	20	13
27	22	90
1	3	0
51	7	103
32	24	12
25	1	57
80	5	64
83	8	40
19	9	101
69	19	92
101	23	42
87	3	74
9	0	43
31	1	60
50	8	81
36	5	61
74	23	10
86	20	21
42	2	80
33	5	54
61	6	41
27	8	80
65	23	50
42	24	25
36	22	85
11	7	21
28	13	60
48	1	0
6	4	19
13	8	96
98	23	17
69	19	3
24	20	2
90	1	57
102	18	1
88	7	21
36	23	47
42	5	64
37	20	14
81	7	5
38	18	51
15	7	29
87	2	67
38	24	8
12	24	82
52	1	35
11	12	45
62	3	1
102	14	100
2	3	18
94	24	28
91	22	87
3	19	22
13	7	6
66	18	97
102	23	25
72	3	99
81	7	48
28	0	9
79	7	97
99	24	41
43	2	91
102	2	75
64	7	43
48	2	76
41	9	92
3	8	62
100	20	36
61	22	55
71	13	60
65	20	93
60	1	40
102	23	48
27	0	3
79	3	88
52	3	2
101	1	33
5	2	70
82	9	73
78	23	20
77	10	25
79	8	36
7	9	61
55	8	28
19	2	81
7	8	47
56	14	57
75	3	37
36	3	31
59	7	92
69	7	35
99	24	29
71	19	37
86	18	68
63	7	50
66	18	43
61	7	94
73	8	101
102	22	80
6	24	10
30	3	33
3	24	43
52	7	39
6	4	39
58	23	12
90	7	46
53	15	88
58	3	2
60	3	54
38	7	14
49	3	37
23	19	46
62	3	76
27	19	46
65	3	96
43	8	62
27	7	12
21	22	52
45	22	95
94	21	92
90	18	32
48	1	49
2	13	17
10	8	87
84	5	102
65	10	49
19	9	3
93	10	69
54	3	19
89	9	42
39	4	21
40	20	18
78	7	87
17	3	79
23	13	60
7	8	17
87	1	2
19	24	41
21	2	101
71	18	56
29	10	42
63	7	64
46	18	61
28	4	22
26	0	8
40	23	45
36	21	51
40	4	33
8	8	98
51	9	13
64	3	79
33	22	87
59	3	86
100	21	98
67	21	66
4	22	69
22	24	29
55	1	42
28	20	11
36	5	97
86	1	16
26	7	91
89	8	24
86	22	54
70	5	79
36	2	72
38	5	62
82	12	85
61	3	6
63	10	82
50	8	39
11	10	14
6	5	77
48	21	69
34	23	49
90	15	95
86	24	32
48	2	73
74	1	15
20	9	77
96	23	13
29	5	63
32	18	52
97	23	93
77	22	3
23	7	85
13	22	54
27	22	51
8	19	70
23	8	42
34	24	27
81	18	27
2	7	36
27	9	72
100	18	11
44	0	15
24	10	90
69	10	49
15	12	90
52	8	97
100	1	90
16	23	24
83	8	99
3	21	59
61	8	84
86	21	61
61	14	65
13	9	90
44	5	83
29	8	45
63	8	87
20	3	14
100	20	40
40	10	35
19	4	20
57	7	103
92	21	86
101	1	53
82	10	33
89	7	91
38	19	44
33	8	25
14	7	0
1	8	10
59	22	70
44	20	7
23	3	6
35	10	41
92	21	88
97	22	90
32	23	7
32	9	87
39	10	74
19	4	34
64	3	32
88	7	92
7	19	92
77	24	24
88	24	8
6	23	49
66	8	17
102	22	72
83	15	61
35	13	26
76	18	47
43	24	28
102	20	34
73	23	21
41	5	63
12	13	49
98	21	52
37	5	84
39	20	0
76	14	94
82	23	40
60	22	4
35	10	103
41	10	73
58	7	29
50	9	84
26	19	68
19	8	37
59	9	18
102	10	20
64	21	63
92	22	76
60	9	53
43	22	84
49	1	35
27	7	59
4	20	9
14	7	26
84	22	53
20	7	85
94	22	69
95	21	58
90	1	2
1	12	42
11	3	12
68	3	42
9	7	85
9	22	80
80	24	25
36	3	40
62	10	46
49	0	100
70	22	63
33	7	45
30	2	61
73	3	67
18	7	77
29	5	61
39	2	98
69	12	36
35	22	6
73	5	88
101	20	11
16	8	19
61	3	14
25	12	44
4	20	33
53	0	6
42	10	103
68	7	22
98	20	1
93	1	74
25	3	67
85	19	15
76	8	43
61	23	71
74	5	94
16	9	87
98	3	29
57	7	95
31	21	52
102	1	82
47	2	59
79	7	21
40	3	36
30	8	48
13	13	25
83	7	34
51	23	17
87	22	63
88	7	28
34	23	71
51	14	75
24	19	10
16	22	62
34	7	86
38	0	94
94	2	89
70	10	29
8	23	40
100	20	19
69	7	80
84	3	73
72	10	48
47	8	40
14	4	40
10	24	9
15	9	75
12	8	77
56	8	19
54	22	61
35	3	48
41	20	15
0	19	89
62	8	91
10	7	38
39	10	90
19	22	63
86	1	82
78	12	40
93	1	42
66	20	93
90	7	66
70	22	53
16	22	84
14	8	67
31	23	38
82	8	19
14	21	59
31	23	26
98	15	73
19	2	54
44	2	84
60	8	88
22	2	72
27	22	73
41	1	60
71	8	20
4	4	44
42	24	48
95	5	6
90	18	16
84	5	79
77	23	32
25	8	43
42	18	16
48	10	29
39	21	57
11	7	3
61	14	66
10	22	62
87	2	70
27	23	1
85	19	2
74	15	96
48	23	33
27	3	63
83	5	68
103	24	36
56	7	43
96	10	35
101	0	10
32	1	11
65	21	51
10	7	85
72	3	81
56	1	26
57	7	40
31	20	71
78	23	21
97	23	1
30	7	37
17	3	32
43	18	66
58	24	1
11	13	71
0	7	54
68	18	17
98	21	55
100	23	23
14	9	99
91	8	100
42	19	56
6	22	62
47	10	63
59	8	65
31	21	55
64	3	88
93	13	12
54	19	92
68	10	8
50	19	1
14	21	64
69	2	98
12	23	25
19	10	57
25	23	14
50	5	87
7	10	51
70	23	23
47	13	1
3	14	99
102	23	31
17	22	69
49	3	93
45	7	101
82	10	34
61	8	80
15	0	100
96	15	67
50	24	11
24	2	81
96	23	50
62	7	78
0	7	39
43	0	10
34	3	43
67	5	102
9	23	1
62	8	28
36	1	69
15	7	66
67	24	1
38	7	101
27	0	92
43	21	85
25	10	96
67	18	56
22	20	2
37	24	32
97	19	81
49	10	22
67	7	95
36	10	84
48	8	3
59	22	54
78	3	72
84	10	24
35	1	55
34	7	4
63	23	18
37	0	88
86	2	75
84	1	93
