?b  term22  ?a   => ?a  term22  ?b   0.679738562
?b  term0  ?a   => ?a  term0  ?b   0.724324324
?b  term25  ?a   => ?a  term20  ?b   1.0
?b  term20  ?a   => ?a  term20  ?b   0.612440191
?b  term10  ?a   => ?a  term11  ?b   0.614795918
?b  term9  ?a   => ?a  term11  ?b   0.5432432429999999
?b  term4  ?a   => ?a  term4  ?b   0.697201018
?b  term5  ?a   => ?a  term15  ?b   0.754950495
?b  term6  ?a   => ?a  term15  ?b   0.7594594590000001
?b  term2  ?a   => ?a  term1  ?b   0.699453552
?b  term17  ?a   => ?a  term17  ?b   0.5
?b  term19  ?a   => ?a  term8  ?b   0.7
?b  term18  ?a   => ?a  term18  ?b   0.7478260870000001
?b  term7  ?a   => ?a  term16  ?b   0.588235294
?b  term8  ?a   => ?a  term16  ?b   0.549450549
?f  term2  ?a  ?b  term2  ?f   => ?a  term0  ?b   0.588235294
?f  term2  ?b  ?a  term2  ?f   => ?a  term0  ?b   0.6176470589999999
?b  term25  ?f  ?f  term9  ?a   => ?a  term20  ?b   0.5
?b  term19  ?f  ?f  term5  ?a   => ?a  term20  ?b   0.571428571
?a  term19  ?f  ?f  term5  ?b   => ?a  term20  ?b   0.5
?a  term10  ?f  ?b  term24  ?f   => ?a  term21  ?b   0.5
?a  term24  ?f  ?b  term5  ?f   => ?a  term11  ?b   0.5
?a  term24  ?f  ?b  term8  ?f   => ?a  term4  ?b   0.5
?a  term21  ?f  ?b  term5  ?f   => ?a  term4  ?b   0.818181818
?b  term11  ?f  ?f  term25  ?a   => ?a  term4  ?b   0.5
?b  term0  ?f  ?f  term25  ?a   => ?a  term4  ?b   0.5555555560000001
?b  term1  ?f  ?f  term24  ?a   => ?a  term4  ?b   0.571428571
?b  term1  ?f  ?a  term25  ?f   => ?a  term4  ?b   0.705882353
?b  term21  ?f  ?a  term5  ?f   => ?a  term4  ?b   0.818181818
?f  term1  ?a  ?b  term25  ?f   => ?a  term4  ?b   0.7222222220000001
?f  term0  ?a  ?b  term25  ?f   => ?a  term4  ?b   0.5
?a  term1  ?f  ?b  term25  ?f   => ?a  term4  ?b   0.8235294120000001
?b  term24  ?f  ?a  term8  ?f   => ?a  term4  ?b   0.5
?a  term0  ?f  ?f  term25  ?b   => ?a  term4  ?b   0.5555555560000001
?f  term1  ?b  ?a  term25  ?f   => ?a  term4  ?b   0.611111111
?f  term19  ?b  ?a  term22  ?f   => ?a  term4  ?b   0.666666667
?f  term0  ?b  ?a  term25  ?f   => ?a  term4  ?b   0.5
?e  term0  ?b  ?e  term25  ?a   => ?a  term4  ?b   0.7692307690000001
?e  term1  ?b  ?e  term24  ?a   => ?a  term4  ?b   0.571428571
?e  term25  ?a  ?e  term9  ?b   => ?a  term4  ?b   0.7142857140000001
?e  term19  ?b  ?e  term22  ?a   => ?a  term4  ?b   0.571428571
?e  term14  ?b  ?e  term2  ?a   => ?a  term4  ?b   0.5
?e  term0  ?a  ?e  term25  ?b   => ?a  term4  ?b   0.692307692
?f  term2  ?a  ?b  term22  ?f   => ?a  term6  ?b   0.646017699
?b  term14  ?f  ?a  term7  ?f   => ?a  term6  ?b   0.571428571
?f  term10  ?b  ?a  term6  ?f   => ?a  term6  ?b   0.540918164
?f  term24  ?b  ?a  term7  ?f   => ?a  term6  ?b   0.7333333329999999
