53	100	21	7
85	34	20	7
22	58	21	7
28	56	21	7
44	95	21	7
6	89	21	7
84	65	21	7
44	99	21	7
37	14	20	7
94	92	21	7
40	18	20	7
28	11	20	7
86	61	21	7
92	86	21	7
44	7	20	7
4	9	20	7
101	11	20	7
4	33	20	7
98	1	20	7
65	51	21	7
31	55	21	7
40	71	20	7
21	12	20	7
59	10	20	7
13	9	20	7
73	65	21	7
46	70	21	7
99	51	21	7
31	51	21	7
5	78	21	7
100	77	21	7
94	21	20	7
94	20	20	7
100	95	21	7
28	8	20	7
36	93	20	7
24	52	21	7
33	83	21	7
56	9	20	7
35	81	21	7
96	15	20	7
9	42	11	23
42	22	20	7
100	96	21	7
33	13	20	7
95	49	20	7
77	55	21	7
95	2	20	7
44	24	20	7
91	59	21	7
80	19	20	7
94	10	20	7
26	10	20	7
20	38	20	7
22	55	21	7
45	23	20	7
94	43	20	7
20	8	20	7
100	66	21	7
72	2	20	7
97	45	20	7
99	49	20	7
44	66	21	7
34	38	20	7
97	88	21	7
72	18	20	7
6	88	21	7
9	98	21	7
33	12	20	7
43	59	21	7
34	88	21	7
94	6	21	7
43	82	20	7
81	55	21	7
24	15	20	7
45	28	20	7
102	91	21	7
75	14	20	7
72	51	21	7
92	64	21	7
78	71	20	7
43	11	20	7
46	80	21	7
94	30	20	7
4	27	20	7
14	75	21	7
44	81	21	7
3	56	21	7
46	100	21	7
19	68	21	7
65	52	21	7
6	16	20	7
43	94	21	7
31	15	20	7
29	49	20	7
33	26	20	7
81	2	20	7
26	20	20	7
33	85	21	7
61	11	20	7
92	79	21	7
85	27	20	7
21	82	20	7
81	0	20	7
32	23	20	7
79	10	20	7
103	0	20	7
34	16	20	7
37	86	21	7
33	31	20	7
80	66	21	7
41	93	20	7
92	17	20	7
34	8	20	7
98	71	20	7
21	64	21	7
35	78	21	7
69	57	21	7
3	94	21	7
94	101	21	7
26	6	21	7
34	59	21	7
101	94	21	7
66	58	21	7
43	17	20	7
85	33	20	7
95	93	20	7
29	71	20	7
73	9	11	23
45	34	20	7
51	65	21	7
3	8	20	7
39	55	21	7
94	3	21	7
61	82	20	7
74	65	21	7
101	59	21	7
23	56	21	7
91	8	20	7
83	10	20	7
6	85	21	7
60	0	20	7
72	52	21	7
100	81	21	7
23	32	20	7
45	14	20	7
41	49	20	7
100	60	20	7
97	47	20	7
100	54	21	7
65	0	20	7
54	55	21	7
14	89	21	7
30	59	21	7
28	13	20	7
96	55	21	7
33	88	21	7
91	45	20	7
22	51	21	7
14	13	20	7
30	13	20	7
45	61	21	7
92	94	21	7
100	7	20	7
90	81	21	7
3	32	20	7
25	69	21	7
7	44	20	7
6	8	20	7
92	45	20	7
63	56	21	7
8	24	11	23
37	23	20	7
89	14	20	7
48	22	20	7
91	47	20	7
67	7	20	7
22	52	21	7
80	54	21	7
47	10	20	7
59	63	21	7
74	19	20	7
6	38	20	7
46	74	21	7
38	63	21	7
56	53	21	7
64	9	20	7
98	0	20	7
96	62	21	7
65	58	21	7
87	81	21	7
