?b  term0  ?a   => ?a  term0  ?b   0.724324324
?b  term25  ?a   => ?a  term20  ?b   1.0
?b  term5  ?a   => ?a  term15  ?b   0.754950495
?b  term6  ?a   => ?a  term15  ?b   0.7594594590000001
?b  term19  ?a   => ?a  term8  ?b   0.7
?b  term18  ?a   => ?a  term18  ?b   0.7478260870000001
?a  term21  ?f  ?b  term5  ?f   => ?a  term4  ?b   0.818181818
?b  term1  ?f  ?a  term25  ?f   => ?a  term4  ?b   0.705882353
?b  term21  ?f  ?a  term5  ?f   => ?a  term4  ?b   0.818181818
?f  term1  ?a  ?b  term25  ?f   => ?a  term4  ?b   0.7222222220000001
?a  term1  ?f  ?b  term25  ?f   => ?a  term4  ?b   0.8235294120000001
?e  term0  ?b  ?e  term25  ?a   => ?a  term4  ?b   0.7692307690000001
?e  term25  ?a  ?e  term9  ?b   => ?a  term4  ?b   0.7142857140000001
?f  term24  ?b  ?a  term7  ?f   => ?a  term6  ?b   0.7333333329999999
?a  term14  ?f  ?b  term19  ?f   => ?a  term5  ?b   0.833333333
?a  term0  ?f  ?f  term24  ?b   => ?a  term5  ?b   1.0
?b  term16  ?f  ?a  term25  ?f   => ?a  term15  ?b   0.7179487179999999
?f  term16  ?b  ?a  term25  ?f   => ?a  term15  ?b   0.775510204
?b  term24  ?f  ?f  term4  ?a   => ?a  term1  ?b   0.8
?a  term13  ?f  ?f  term24  ?b   => ?a  term1  ?b   0.9
?a  term24  ?f  ?f  term4  ?b   => ?a  term1  ?b   0.8
?b  term21  ?f  ?a  term9  ?f   => ?a  term8  ?b   1.0
?f  term24  ?b  ?a  term4  ?f   => ?a  term8  ?b   0.7
?a  term1  ?f  ?b  term24  ?f   => ?a  term13  ?b   0.75
?b  term20  ?f  ?f  term21  ?a   => ?a  term18  ?b   0.75
?b  term13  ?f  ?f  term24  ?a   => ?a  term2  ?b   0.7
?a  term14  ?f  ?f  term25  ?b   => ?a  term2  ?b   1.0
?a  term25  ?f  ?f  term5  ?b   => ?a  term16  ?b   0.705882353
?e  term24  ?a  ?e  term4  ?b   => ?a  term16  ?b   0.846153846
?b  term24  ?f  ?a  term6  ?f   => ?a  term7  ?b   0.7857142859999999
