100	71	0	0
51	60	10	10
46	2	10	10
30	84	10	10
82	91	10	10
46	25	0	0
48	66	10	10
27	3	0	0
102	20	10	10
62	46	10	10
53	6	0	0
101	10	0	0
47	63	10	10
68	8	10	10
19	57	10	10
25	96	10	10
26	53	10	10
54	49	10	10
33	11	10	10
58	7	10	10
27	43	0	0
81	1	10	10
31	90	10	10
24	25	10	10
60	62	10	10
52	22	10	10
57	100	0	0
27	97	0	0
94	47	0	0
40	51	10	10
23	88	10	10
81	93	10	10
61	16	10	10
24	48	10	10
6	9	0	0
50	61	10	10
3	9	0	0
20	89	10	10
43	16	10	10
5	41	10	10
100	2	0	0
38	61	10	10
38	4	0	0
78	49	10	10
1	69	10	10
46	69	0	0
82	6	10	10
44	1	0	0
5	39	10	10
50	34	10	10
27	101	0	0
75	33	10	10
31	35	10	10
100	0	0	0
62	100	0	0
53	14	0	0
95	48	10	10
3	10	0	0
50	4	0	0
22	44	10	10
48	103	10	10
50	6	10	10
100	46	10	10
2	44	0	0
101	8	10	10
40	5	10	10
33	89	10	10
37	53	10	10
60	71	10	10
55	7	10	10
71	44	0	0
32	53	10	10
52	46	10	10
53	30	0	0
61	12	10	10
62	7	10	10
2	54	10	10
82	27	10	10
9	89	10	10
32	63	10	10
9	92	0	0
24	5	10	10
98	42	10	10
17	53	10	10
102	12	0	0
7	100	10	10
12	53	10	10
73	40	10	10
91	11	10	10
31	73	10	10
82	23	10	10
83	102	0	0
47	53	10	10
83	21	10	10
64	23	10	10
41	74	10	10
19	76	10	10
11	42	10	10
52	100	0	0
79	34	10	10
79	94	0	0
44	93	0	0
44	62	0	0
15	65	10	10
98	18	10	10
84	29	10	10
39	70	10	10
13	4	0	0
57	7	10	10
47	102	0	0
41	42	10	10
60	100	10	10
47	75	10	10
48	41	10	10
11	10	10	10
12	37	0	0
35	98	10	10
75	16	0	0
78	15	10	10
88	102	0	0
4	56	0	0
11	83	0	0
58	100	0	0
11	61	10	10
30	64	10	10
83	38	10	10
54	93	10	10
75	30	10	10
37	79	0	0
46	22	0	0
39	48	10	10
0	46	10	10
37	83	0	0
17	102	0	0
48	96	10	10
75	20	10	10
53	16	10	10
29	25	10	10
76	7	10	10
58	46	10	10
46	35	0	0
51	9	10	10
60	93	10	10
30	11	10	10
75	34	10	10
55	96	0	0
82	10	10	10
0	7	10	10
10	92	0	0
97	9	0	0
31	70	10	10
4	14	10	10
82	53	10	10
53	34	0	0
59	37	0	0
42	36	10	10
84	31	10	10
47	61	10	10
18	60	10	10
48	99	10	10
93	53	10	10
14	82	10	10
28	53	0	0
22	76	10	10
82	30	10	10
100	93	0	0
53	50	10	10
