165	3	550	183	401
968	6	3511	187	364
3410	6	3509	179	45
2700	6	2705	80	73
2760	6	374	97	137
2139	6	363	50	176
1456	6	3509	179	3
1039	2	668	179	400
1398	6	330	122	75
2148	6	3509	179	394
2139	6	1920	34	176
2883	6	1455	29	137
1797	6	358	63	223
885	6	335	71	117
856	3	3368	120	401
2212	6	3509	179	23
2881	6	1920	34	408
1133	7	3152	134	190
1781	6	318	72	141
263	6	3509	179	45
1901	6	3509	179	394
245	0	2957	133	401
1325	6	13	160	273
2534	6	1451	18	104
2455	6	374	97	137
2919	2	3034	174	148
2207	6	3509	179	394
1780	6	363	50	176
466	6	363	50	15
2297	6	2302	59	94
2700	6	2703	60	336
1436	6	16	169	186
235	6	3509	179	333
1339	6	1455	29	259
665	3	1769	128	401
2017	7	447	184	401
2455	6	340	86	24
89	6	3509	179	45
3430	6	2888	123	286
2974	6	347	40	148
3431	6	3509	179	45
1379	6	3509	179	69
2718	0	188	113	401
1144	6	3509	179	3
666	3	3366	175	401
263	6	3509	179	308
3501	2	661	121	401
593	6	622	167	3
2534	6	1451	18	137
2297	6	267	61	46
806	6	3509	179	23
2297	6	327	36	318
3434	6	19	184	273
1780	6	1452	22	171
1779	6	1455	29	134
1016	6	374	97	61
1552	2	3152	134	190
1456	6	3509	179	3
1339	6	334	55	135
3434	6	3509	179	45
2883	6	334	55	162
3434	6	622	167	3
2196	6	329	120	75
1578	3	3172	175	401
2060	7	3056	124	401
265	6	346	87	25
101	6	313	5	7
3454	6	655	142	79
508	6	3509	179	23
2030	0	1416	172	401
3434	6	3435	143	342
3432	6	3509	179	308
2212	6	3509	179	137
2207	6	1410	180	266
1064	6	2831	70	148
2878	6	10	137	388
1398	6	329	120	75
920	6	1454	28	245
1339	6	1920	34	418
2455	6	374	97	45
1339	6	345	65	358
2881	6	361	20	190
1339	6	2837	38	171
2469	7	2795	156	179
1383	6	1404	84	324
1780	6	2825	52	160
2700	6	2709	67	264
1780	6	2826	7	95
1029	2	1531	174	401
2881	6	3509	179	20
2386	3	2448	175	401
740	0	3355	120	401
2455	6	2838	58	375
1796	6	664	25	232
1143	6	2833	88	223
2419	6	3509	179	394
2254	6	3509	179	308
593	6	622	167	199
2583	0	2451	190	401
2422	6	2708	53	31
673	6	2706	46	129
694	6	363	50	176
531	6	3509	179	23
3420	6	14	169	29
606	7	586	181	401
3410	6	3509	179	23
531	6	3509	179	45
1835	6	14	169	337
500	7	676	148	148
1797	6	348	78	248
1794	6	1451	18	137
1240	6	664	25	232
2973	6	3509	179	137
2534	6	1452	22	137
2260	6	513	122	179
3434	6	2888	123	190
2260	6	513	122	328
2531	6	664	25	311
2723	6	2703	60	283
2297	6	343	96	295
2973	6	3509	179	45
2856	6	3509	179	45
2297	6	1920	34	176
1519	0	3522	115	401
264	6	3509	179	137
2812	7	428	184	69
1339	6	1450	17	104
3433	6	4	79	137
3384	6	3509	179	23
2089	2	1078	185	137
942	6	334	55	135
3432	6	655	142	79
2419	6	3509	179	3
2847	6	3509	179	69
264	6	3509	179	333
2700	6	267	61	294
2205	6	10	137	77
2254	6	3509	179	3
2234	3	3210	143	190
1315	7	188	113	401
2499	7	820	174	401
2141	6	3509	179	333
1780	6	353	21	347
488	6	513	122	62
1612	2	605	161	401
3434	6	14	169	127
1665	2	1417	183	401
2297	6	351	54	176
275	6	14	169	398
2881	6	1410	180	257
599	3	232	176	401
2297	6	2835	83	336
2533	6	2709	67	264
1780	6	1026	43	109
694	6	1920	34	418
1136	6	2703	60	28
2432	6	2298	27	326
1426	6	3509	179	137
2700	6	2712	81	35
1325	6	19	184	189
806	6	4	79	137
1594	7	144	185	401
2314	6	1451	18	221
2931	3	1985	184	401
1797	6	344	65	317
1339	6	1452	22	209
274	6	3509	179	69
2283	0	2291	130	266
2972	6	363	50	403
645	7	1834	188	401
1339	6	1450	17	221
3434	6	314	120	275
2297	6	323	53	64
2441	6	2825	52	160
2974	6	2426	37	103
1016	6	3509	179	20
2681	7	194	112	401
999	6	3509	179	3
578	6	664	25	391
263	6	360	120	276
1796	6	664	25	311
675	3	2206	127	401
1339	6	363	50	376
2297	6	664	25	300
945	7	1201	145	412
3434	6	14	169	390
1339	6	523	194	379
963	6	14	169	337
2662	6	3509	179	69
2973	6	3509	179	394
1139	3	3289	152	401
1339	6	1455	29	134
280	6	16	169	186
2861	6	14	169	337
2207	6	3509	179	45
875	6	1920	34	421
2883	6	1455	29	295
1721	3	3240	178	148
2445	6	1920	34	421
561	0	3179	139	137
915	6	3509	179	394
485	6	350	96	45
2700	6	2703	60	150
2874	6	3509	179	333
1901	6	3509	179	333
1779	6	943	13	330
1779	6	316	55	113
3420	6	14	169	337
1209	6	3509	179	45
1016	6	374	97	311
498	0	3077	182	137
1239	6	351	54	295
