A._E._W._Mason	created	The_Drum_(1938_film)	United_Kingdom	1938
A._Edward_Sutherland	directed	International_House_(1933_film)	United_States	1933
A._Edward_Sutherland	directed	Tillie's_Punctured_Romance_(1928_film)	United_States	1928
A._R._Rahman	created	Ghajini_(2008_film)	India	2008
A._R._Rahman	created	Taj_Mahal_(1999_film)	India	1999
A._R._Rahman	created	Tehzeeb_(2003_film)	India	2003
A._R._Rahman	wroteMusicFor	Ghajini_(2008_film)	India	2008
A._R._Rahman	wroteMusicFor	Guru_(2007_film)	India	2007
A._R._Rahman	wroteMusicFor	Taj_Mahal_(1999_film)	India	1999
A._R._Rahman	wroteMusicFor	Tehzeeb_(2003_film)	India	2003
A._R._Rahman	wroteMusicFor	Water_(2005_film)	Canada	2005
A._R._Rawlinson	created	Man_of_the_Moment_(1935_film)	United_Kingdom	1935
A._Sreekar_Prasad	edited	Aśoka_(2001_film)	India12_Angry_Men_(1957_film)	2001
A._Sreekar_Prasad	edited	Guru_(2007_film)	India	2007
A._Sreekar_Prasad	edited	Tehzeeb_(2003_film)	India	2003
Aaron_Copland	wroteMusicFor	The_North_Star_(1943_film)	United_States	1943
Aaron_Zigman	wroteMusicFor	Bridge_to_Terabithia_(2007_film)	New_Zealand	2007
Aaron_Zigman	wroteMusicFor	Bridge_to_Terabithia_(2007_film)	United_States	2007
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	Anatolia	780
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	Egypt	780
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	North_Africa	780
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	Palestine	780
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	Sicily	780
Abbasid_Caliphate	participatedIn	Byzantine–Arab_wars_(780–1180)	Syria	780
Abel_Ferrara	created	Mary_(2005_film)	France	2005
Abel_Ferrara	created	Mary_(2005_film)	Italy	2005
Abel_Ferrara	created	Mary_(2005_film)	United_States	2005
Abel_Ferrara	directed	Mary_(2005_film)	France	2005
Abel_Ferrara	directed	Mary_(2005_film)	Italy	2005
Abel_Ferrara	directed	Mary_(2005_film)	United_States	2005
Abel_Ferrara	directed	The_Funeral_(1996_film)	United_States	1996
Abrar_Alvi	created	Laila_Majnu_(1976_film)	India	1976
Abrar_Alvi	created	Laila_Majnu_(1976_film)	Soviet_Union	1976
Abrar_Alvi	created	Laila_Majnu_(1976_film)	West_Germany	1976
Ace_Herman	edited	The_Master_Key_(1945_serial)	United_States	1945
Adal_Sultanate	participatedIn	Ottoman–Portuguese_conflicts_(1538–57)	Horn_of_Africa	1538
Adal_Sultanate	participatedIn	Ottoman–Portuguese_conflicts_(1538–57)	India	1538
Adal_Sultanate	participatedIn	Ottoman–Portuguese_conflicts_(1538–57)	Indian_Ocean	1538
Adal_Sultanate	participatedIn	Ottoman–Portuguese_conflicts_(1538–57)	Red_Sea	1538
Adam_Ant	wroteMusicFor	Jubilee_(1978_film)	United_Kingdom	1978
Adam_Rifkin	created	The_Chase_(1994_film)	United_States	1994
